Simulation,Description,Date_sd,Date_lockdown,Knot_date_1,Knot_date_2,Date,Mean,C_025,C_975
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-01-30,1,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-01-31,2,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-02-03,8,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-02-05,9,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-02-08,12,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-02-09,13,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-02-11,14,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-02-12,15,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-02-13,16,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-02-14,17,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-02-17,18,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-02-19,19,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-02-21,20,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-02-23,24,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-02-24,25,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-02-25,29,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-02-26,32,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-02-27,38,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-02-28,50,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-02-29,54,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-01,85,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-02,124,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-03,176,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-04,225,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-05,272,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-06,345,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-07,392,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-08,442,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-09,566,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-10,789,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-11,1143,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-12,1556,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-13,1948,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-14,2265,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-15,2662,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-16,3208,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-17,3887,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-18,4796,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-19,5727,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-20,6808,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-21,7842,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-22,9048,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-23,11065,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-24,13085,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-25,15346,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-26,17955,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-27,20612,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-28,22981,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-29,25416,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-30,28907,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-31,32666,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-01,36749,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-02,40755,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-03,44798,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-04,48118,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-05,51148,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-06,55473,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-07,59951,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-08,64180,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-09,68184,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-10,71690,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-11,74684,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-12,77366,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-13,80670,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-14,84086,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-15,87683,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-16,91122,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-17,94540,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-18,97113,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-19,99201,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-20,102277,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-21,105265,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-22,108025,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-23,110787,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-24,113557,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-25,115366,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-26,116771,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-27,118994,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-28,121269,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-29,123607,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-04-30,125731,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-01,127678,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-02,128917,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-03,129878,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-04,131490,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-05,133079,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-06,134507,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-07,135942,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-08,136957,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-09,137846,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-10,138572,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-11,139807,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-12,140903,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-13,141979,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-14,142879,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-15,143785,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-16,144420,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-17,145054,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-18,145989,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-19,147014,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-20,147833,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-21,148577,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-22,149279,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-23,149733,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-24,150118,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-25,150628,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-26,151170,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-27,151716,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-28,152168,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-29,152607,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-30,152952,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-05-31,153258,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-06-01,153699,NA,NA
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-02,124,124,124
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-03,171,148,208
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-04,228,172,326
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-05,297,195,488
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-06,381,219,710
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-07,482,243,1014
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-08,605,267,1401
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-09,753,293,1908
Natural history,Social distancing and lockdown as implemented,2020-03-17,2020-03-24,2020-03-22,2020-04-03,2020-03-10,933,320,2572
