Simulation,Description,Date_sd,Date_lockdown,Knot_date_1,Knot_date_2,Date,Mean,C_025,C_975
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-01-30,1,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-01-31,2,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-02-03,8,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-02-05,9,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-02-08,12,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-02-09,13,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-02-11,14,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-02-12,15,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-02-13,16,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-02-14,17,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-02-17,18,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-02-19,19,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-02-21,20,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-02-23,24,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-02-24,25,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-02-25,29,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-02-26,32,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-02-27,38,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-02-28,50,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-02-29,54,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-01,85,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-02,124,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-03,176,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-04,225,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-05,272,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-06,345,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-07,392,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-08,442,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-09,566,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-10,789,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-11,1143,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-12,1556,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-13,1948,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-14,2265,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-15,2662,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-16,3208,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-17,3887,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-03,2020-03-18,4796,NA,NA
