Simulation,Description,Date_sd,Date_lockdown,Knot_date_1,Knot_date_2,Date,Mean,C_025,C_975
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-01-30,1,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-01-31,1,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-02-03,6,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-02-05,1,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-02-08,3,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-02-09,1,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-02-11,1,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-02-12,1,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-02-13,1,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-02-14,1,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-02-17,1,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-02-19,1,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-02-21,1,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-02-23,4,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-02-24,1,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-02-25,4,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-02-26,3,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-02-27,6,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-02-28,12,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-02-29,4,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-01,31,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-02,39,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-03,52,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-04,49,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-05,47,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-06,73,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-07,47,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-08,50,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-09,124,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-10,223,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-11,354,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-12,413,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-13,392,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-14,317,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-15,397,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-16,546,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-17,679,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-18,909,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-19,931,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-20,1081,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-21,1034,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-22,1206,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-23,2017,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-24,2020,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-25,2261,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-26,2609,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-27,2657,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-28,2369,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-29,2435,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-30,3491,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-03-31,3759,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-04-01,4083,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-04-02,4006,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-04-03,4043,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-04-04,3320,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-04-05,3030,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-04-06,4325,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-04-07,4478,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-04-08,4229,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-04-09,4004,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-04-10,3506,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-04-11,2994,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-04-12,2682,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-04-13,3304,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-04-14,3416,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-04-15,3597,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-04-16,3439,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-04-17,3418,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,2020-04-02,2020-04-18,2573,NA,NA
