Simulation,Description,Date_sd,Date_lockdown,Date,Mean,C_025,C_975
True,True,2020-03-17,2020-03-24,2020-01-30,NA,NA,NA
True,True,2020-03-17,2020-03-24,2020-01-31,0,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-01,NaN,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-02,NaN,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-03,Inf,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-04,0,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-05,Inf,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-06,0,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-07,NaN,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-08,Inf,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-09,0.25,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-10,0,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-11,Inf,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-12,0,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-13,NaN,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-14,NaN,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-15,NaN,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-16,NaN,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-17,NaN,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-18,NaN,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-19,NaN,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-20,NaN,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-21,Inf,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-22,0,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-23,NaN,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-24,Inf,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-25,2.5,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-26,0.8,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-27,1.75,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-28,1.5714285714285714,NA,NA
True,True,2020-03-17,2020-03-24,2020-02-29,0.45454545454545453,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-01,4,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-02,1.95,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-03,1.358974358974359,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-04,0.9245283018867925,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-05,0.9591836734693877,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-06,1.553191489361702,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-07,0.6438356164383562,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-08,1.0638297872340425,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-09,2.5,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-10,1.784,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-11,1.5829596412556053,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-12,1.1756373937677054,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-13,0.944578313253012,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-14,0.8010204081632653,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-15,1.2643312101910829,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-16,1.3753148614609572,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-17,1.2435897435897436,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-18,1.3387334315169366,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-19,1.0242024202420241,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-20,1.1600429645542427,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-21,0.9592592592592593,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-22,1.166988416988417,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-23,1.6691480562448304,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-24,1.0034687809712586,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-25,1.1190123456790124,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-26,1.1540158870255957,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-27,1.0172084130019121,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-28,0.893609022556391,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-29,1.0256625999158604,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-30,1.4433962264150944,NA,NA
True,True,2020-03-17,2020-03-24,2020-03-31,1.0699062233589087,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-01,1.0844621513944224,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-02,0.9838354151359294,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-03,1.0074682598954443,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-04,0.8223375339757846,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-05,0.9107572115384616,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-06,1.4289013526888816,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-07,1.0327868852459017,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-08,0.9472389894925106,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-09,0.9476044371017229,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-10,0.8737235367372354,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-11,0.8560433295324972,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-12,0.8991008991008991,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-13,1.2244444444444444,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-14,1.0329703569267998,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-15,1.0550512445095168,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-16,0.9536497363308354,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-17,0.9970896391152503,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-18,0.7518972562755399,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-19,0.8082298136645962,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-20,1.4750240153698366,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-21,0.9749267339628785,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-22,0.924181696726787,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-23,0.9996385977593061,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-24,1.002169197396963,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-25,0.6525974025974026,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-26,0.7772249861802101,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-27,1.5810810810810811,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-28,1.0292397660818713,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-29,1.0262237762237763,NA,NA
True,True,2020-03-17,2020-03-24,2020-04-30,0.9045996592844975,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-01,0.917608286252354,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-02,0.638276038994356,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-03,0.772508038585209,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-04,1.68366285119667,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-05,0.9913473423980222,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-06,0.8952618453865336,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-07,1.0083565459610029,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-08,0.7064917127071824,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-09,0.8690127077223851,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-10,0.8211473565804275,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-11,1.704109589041096,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-12,0.8890675241157556,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-13,0.9773960216998192,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-14,0.8362627197039778,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-15,1.008849557522124,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-16,0.694078947368421,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-17,1.004739336492891,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-18,1.4889937106918238,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-19,1.0781414994720169,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-20,0.8070519098922625,NA,NA
True,True,2020-03-17,2020-03-24,2020-05-21,0.9089805825242718,NA,NA
